te	gloss	pos	status
ర			ocr-junk
Pఒద			ocr-junk
్దు			ocr-junk
(్			ocr-junk
wర			ocr-junk
ి			ocr-junk
ం			ocr-junk
ష్న్			ocr-junk
ో			ocr-junk
Rభ			ocr-junk
ాష			ocr-junk
మాత్			ocr-junk
౨			ocr-junk
అప్టై			ocr-junk
బిస్మెట్టు			ocr-junk
చుట్టుతోటుంది			ocr-junk
ట్కొట్టు			ocr-junk
నింగయ్యః			ocr-junk
అవ్రను			ocr-junk
యిష్టం			ocr-junk
శ			ocr-junk
గొ			ocr-junk
గొపి			ocr-junk
అత			ocr-junk
నువ్వ			ocr-junk
బి			ocr-junk
మోడలు			ocr-junk
పడ్డది			ocr-junk
ఇంటతను			ocr-junk
రామనరసింహం	Ramanarasimham	name	draft
జ్యోతి	Jyothi	name	draft
హరి	Hari	name	draft
నెహ్రూ	Nehru	name	draft
రాఘవరావు	Raghavarao	name	draft
సారథి	Sarathi	name	draft
వెంకటేశ్వర్లు	Venkateswarlu	name	draft
కుమార్	Kumar	name	draft
రాజారామ్	Rajaram	name	draft
జవహర్లాల్	Jawaharlal	name	draft
ముఖర్జీ	Mukherjee	name	draft
జనతాసింగ్	Janatasingh	name	draft
నారాయణా	Narayana! (calling)	name, vocative	draft
కృష్ణమూర్తి	Krishnamurti	name	draft
గౌరి	Gowri	name	draft
రాఘవ	Raghava	name	draft
గోవిందు	Govindu	name	draft
పురుషోత్తం	Purushottam	name	draft
తెనాలి	Tenali (the town, and Tenali Ramakrishna)	name	draft
రామకృష్ణుడు	Ramakrishna	name	draft
కృష్ణదేవరాయలు	Krishnadevaraya (the emperor)	name	draft
హైదరాబాదు	Hyderabad	place name	draft
ఢిల్లీ	Delhi	place name	draft
ఆకాశవాణి	All India Radio	proper noun	draft
అంగారక	Mars (in compounds)	proper noun	draft
నాన్నగారూ	Father! (calling)	noun, vocative — నాన్న + గారు	draft
సార్	sir	noun (English loanword)	draft
ఏమండీ	excuse me / I say (polite attention-getter)	interjection	draft
అవునండీ	yes, sir / yes, madam	అవును + the polite -అండీ	draft
కాదండీ	no, it is not (polite)	కాదు + the polite -అండీ	draft
లేదండీ	there is none (polite)	లేదు + the polite -అండీ	draft
లేరండీ	there is nobody (polite)	లేరు + the polite -అండీ	draft
ఉందండీ	there is (polite)	ఉంది + the polite -అండీ	draft
ఉన్నాయండీ	there are (polite)	ఉన్నాయి + the polite -అండీ	draft
ఉన్నదండీ	there is (polite)	ఉన్నది + the polite -అండీ	draft
లేవండీ	there are none (polite)	లేవు + the polite -అండీ	draft
పేరండీ	the name, sir	పేరు + the polite -అండీ	draft
నమస్కారమండీ	greetings (polite)	నమస్కారం + the polite -అండీ	draft
మాష్టరుగారూ	Sir! (calling a teacher)	vocative of మాష్టరుగారు	draft
రామారావుగారూ	Mr Ramarao! (calling)	vocative	draft
గదా	is it not? / surely	tag particle seeking agreement	draft
నేనెవరిని	who am I?	నేను + ఎవరిని	draft
ఎవరివి	who are you?	ఎవరు + the 2sg ending	draft
ఎవరిది	whose is it?	ఎవరు + the possessive -ది	draft
ఎవరో	someone / who it might be	ఎవరు + -ఓ	draft
ఎవరిమి	who are we?	ఎవరు + the 1pl ending	draft
ఎవరున్నారు	who is there?	ఎవరు + ఉన్నారు	draft
పేరేమిటి	what is the name?	పేరు + ఏమిటి	draft
ఏముంది	what is there?	ఏమి + ఉంది	draft
కావాలా	is it wanted?	కావాలి + the -ā question	draft
బాగుందా	is it good? / how is it?	బాగుంది + -ā	draft
బాగున్నావా	are you well?	బాగున్నావు + -ā	draft
బాగున్నాయా	are they good?	బాగున్నాయి + -ā	draft
ఉందా	is there?	ఉంది + -ā	draft
ఉన్నాయా	are there?	ఉన్నాయి + -ā	draft
ఉన్నారా	are they/you there?	ఉన్నారు + -ā	draft
ఉంటుందా	will there be?	ఉంటుంది + -ā	draft
కాదా	is it not?	the negative copula + -ā	draft
లేవా	are there none?	లేవు + -ā	draft
వస్తావా	will you come?	వస్తావు + -ā	draft
వచ్చారా	did you all come?	వచ్చారు + -ā	draft
రాలేదా	did (he) not come?	రాలేదు + -ā	draft
తెలిసిందా	is it known?	తెలిసింది + -ā	draft
ఎప్పుడండీ	when, sir?	ఎప్పుడు + the polite -అండీ	draft
ప్రయాణమా	a journey?	ప్రయాణం + -ā	draft
కూతురా	daughter?	కూతురు + -ā	draft
ఇవ్వాళ	today	adverb	draft
ఇందాక	a little while ago	adverb	draft
ఇక	now, from here on	adverb	draft
మళ్లీ	again	adverb	draft
అటు	that way	adverb	draft
ఎదురు	opposite, facing	noun/adverb	draft
లోపలికి	inside (motion towards)	adverb	draft
బైటికి	outside (motion towards)	adverb	draft
దాకా	up to, until	postposition	draft
నించి	from	postposition — a spoken form of నుండి	draft
ఇక్కడే	right here	ఇక్కడ + the emphatic -ఏ	draft
ఇక్కడికి	to here	ఇక్కడ + the dative	draft
ఇక్కడి	of this place	ఇక్కడ, oblique	draft
అక్కడి	of that place	అక్కడ, oblique	draft
దగ్గరే	right near	దగ్గర + the emphatic -ఏ	draft
దగ్గరికి	close to, towards	దగ్గర + the dative	draft
ఎక్కడికీ	anywhere (with a negative)	ఎక్కడికి + -ీ	draft
ఇంట్లోనే	at home only	ఇల్లు + -లో + the emphatic -ఏ	draft
గుళ్లో	in the temple	గుడి + -లో	draft
ఊళ్లో	in the town	ఊరు + -లో	draft
ఊరికి	to the town	ఊరు + the dative	draft
కొట్లో	in the shop	కొట్టు + -లో	draft
నీళ్ళల్లో	in the water	నీళ్ళు + -లో	draft
మీదికి	onto	మీద + the dative	draft
