lesson	seq	speaker	en	rom	legacy	keys	flags
61	1		A NOVEL		Aç³šÍÐèþÓr…ÌZ Aç³NÆæÿÓ	0:378.6	prose no-rom
61	2		EXPERIMENT IN		{ç³Äñý*Væü…	0:405.2	prose no-rom
61	3		Bangalore, August 17.		»ñý…Væü$âæý*Ææÿ$, BVæüçÜ$t 17.	0:463.3	prose no-rom
61	4		The Canara Bank did a		çÜÓÄæý$… E´ë«¨ MæüËµ¯èþMðüO  °Ææÿ$&	0:485.2	prose no-rom
61	5		novel experiment recently in pro- viding loans to the unemployed		§øÅVæü$ËMæü$   º$$×êË$ CÐèþÓyæþ…ÌZ Mðü¯èþÆ>	0:501.7	prose no-rom
61	6		under self-employment scheme.		»êÅ…Mæü$ CsîýÐèþË JMæü Aç³NÆæÿÓ {ç³Äñý*Væü…	0:518.3	prose no-rom
61	7		The Canara bank branch at		^óþíÜ…¨.  àçÜ¯Œþ hÌêÏ ÌZ° MæüÆðÿçßýãåÌZ Mðü¯èþÆ>	0:534.9	prose no-rom
61	8		Karehalli in Hassan district pro- vided a loan of thousand rupees		»êÅ…Mæü$ {»ê…_ Ææÿ…V>òÜsìýt A¯óþ JMæü ÐèþÅMìü¢Mìü	0:551.5	prose no-rom
61	9		to an individual named		V>yìþ§æþË$ Mö¯èþ$MøPyé°Mìü ÐðþÆÿ$$Å Ææÿ*´ëÄæý$Ë$	0:568.0	prose no-rom
61	10		Rangasetty to buy donkeys.  He		C_a…¨.  A™èþ¯èþ$ ç³¨ V>yìþ§æþË$ Mö¯é²yæþ$.	0:584.6	prose no-rom
61	11		hired the donkeys to the people to carry the bricks and  sand at		Câæýå$ Mæüsôýt^ør Cr$MæüË$ CçÜ$Mæü Ððþ*õÜ…&	0:601.2	prose no-rom
61	12		to carry the bricks and  sand at the house-building sites, to carry		§æþ$Mæü$, Möº¾Ç ™øç³#ËÌZ Möº¾ÇM>Äæý$Ë$	0:617.8	prose no-rom
61	13		the coconuts in the coconut gar		Ððþ*õÜ…§æþ$Mæü$, C…M> C™èþÆæÿ BÐèþçÜÆ>ËMæü$	0:634.3	prose no-rom
61	14		dens and for purposes like		V>yìþ§æþË¯èþ$ MìüÆ>Æÿ$$Mìü C^óþaÐéyæþ$.  V>yìþ§æþË	1:160.6	prose no-rom
61	15		that.  The excreta of the don-		Ðèþ$Ë Ðèþ$*{™éË$ Möº¾Ç ™øç³#ËMæü$ Ðèþ$…_	1:177.1	prose no-rom
61	16		keys serve as a very good ma- nure to the coconut gardens.		GÆæÿ$Ðèþ#V> ç³°MöÝë¢Æÿ$$.  A…§æþ$^óþ™èþ ™ørË	1:193.7	prose no-rom
61	17		Therefore, the owners of those		Äæý$fÐèþ*¯èþ$Ë$ Ðésìý° ™èþÐèþ$ ™ørÌZÏ Æ>{† ç³Nr	1:210.3	prose no-rom
61	18		gardens used to have them tied		MæüsìýtÐóþÆÿ$$…^èþ$Mæü$°, E_™èþ…V> Ðóþ$™èþ ÐóþõÜÐéÆæÿ$.	1:226.9	prose no-rom
61	19		OVERALL in the gardens and feed them free.  In addition to this, they		A…™óþ M>§æþ$; JMæü Æ>{†Mìü JMæü V>yìþ§æþMæü$ 20	1:243.4	prose no-rom
61	20		REVIEW 1 used to pay twenty paise per		ò³OçÜË ^öç³š¯èþ ^ðþÍÏ…^óþÐéÆæÿ$.  B Ñ«§æþ…V>	1:260.0	prose no-rom
61	21		donkey for one night.  Thus,		Ææÿ…V>Ôðýsìýt Ðóþ$™èþ QÆæÿ$a ÌôýMæü$…yé »êV>	1:276.6	prose no-rom
61	22		without any maintenace expen- diture, Rangasetty could  earn		çÜ…´ë¨…_, Ðèþ$Ç 40 V>yìþ§æþË$ Mö¯é²yæþ$.	1:293.2	prose no-rom
